order_item_id,order_id,product_id,quantity,unit_price,subtotal
1,1,103,3,436.97,1310.91
2,1,120,3,561.82,1685.46
3,1,75,2,671.17,1342.34
4,1,127,5,445.46,2227.3
5,1,105,3,316.18,948.54
6,2,23,5,758.21,3791.05
7,2,65,2,942.17,1884.34
8,2,86,3,364.22,1092.66
9,2,120,4,561.82,2247.28
10,3,43,1,228.01,228.01
11,3,88,5,930.57,4652.85
12,3,38,5,272.4,1362.0
13,3,88,5,930.57,4652.85
14,3,41,5,522.39,2611.95
15,4,53,4,862.73,3450.92
16,4,21,4,749.53,2998.12
17,5,129,5,159.31,796.55
18,6,134,1,943.3,943.3
19,7,2,3,565.62,1696.86
20,7,141,2,646.31,1292.62
21,7,59,3,721.21,2163.63
22,7,126,1,779.89,779.89
23,7,84,3,836.24,2508.72
24,8,102,5,808.44,4042.2
25,8,101,2,53.93,107.86
26,8,148,3,246.15,738.45
27,8,105,1,316.18,316.18
28,8,58,4,428.77,1715.08
29,9,49,1,472.34,472.34
30,9,130,1,221.8,221.8
31,10,37,1,134.49,134.49
32,10,79,2,493.64,987.28
33,10,104,3,320.77,962.31
34,10,54,5,999.28,4996.4
35,11,49,1,472.34,472.34
36,12,8,3,133.57,400.71
37,13,54,2,999.28,1998.56
38,14,18,3,75.52,226.56
39,15,31,4,206.91,827.64
40,15,92,4,48.33,193.32
41,15,3,5,228.23,1141.15
42,15,77,3,557.68,1673.04
43,16,96,2,645.06,1290.12
44,16,78,4,720.43,2881.72
45,16,123,5,722.07,3610.35
46,16,11,4,296.48,1185.92
47,17,128,3,342.48,1027.44
48,18,8,3,133.57,400.71
49,18,122,4,324.11,1296.44
50,18,138,1,342.76,342.76
51,19,90,4,931.5,3726.0
52,19,7,4,271.87,1087.48
53,19,10,4,200.36,801.44
54,19,23,4,758.21,3032.84
55,20,140,1,907.85,907.85
56,20,22,2,227.12,454.24
57,20,25,4,390.91,1563.64
58,21,87,2,782.31,1564.62
59,21,121,1,803.39,803.39
60,21,83,3,945.59,2836.77
61,21,142,4,267.54,1070.16
62,22,106,1,302.69,302.69
63,22,3,2,228.23,456.46
64,23,8,5,133.57,667.85
65,23,114,1,317.31,317.31
66,23,129,2,159.31,318.62
67,23,119,3,430.88,1292.64
68,23,145,4,999.9,3999.6
69,24,13,3,361.71,1085.13
70,24,150,1,375.2,375.2
71,24,133,4,881.84,3527.36
72,24,45,4,245.61,982.44
73,24,76,2,879.34,1758.68
74,25,75,5,671.17,3355.85
75,26,110,1,329.02,329.02
76,26,40,1,318.59,318.59
77,26,51,4,540.91,2163.64
78,27,64,1,77.27,77.27
79,27,100,2,124.48,248.96
80,27,97,1,939.83,939.83
81,27,78,2,720.43,1440.86
82,28,88,5,930.57,4652.85
83,28,127,2,445.46,890.92
84,29,30,1,186.86,186.86
85,29,43,2,228.01,456.02
86,29,34,5,985.46,4927.3
87,29,145,1,999.9,999.9
88,30,128,3,342.48,1027.44
89,30,111,1,795.79,795.79
90,30,135,3,892.72,2678.16
91,30,140,1,907.85,907.85
92,31,122,1,324.11,324.11
93,31,72,4,78.09,312.36
94,31,143,4,763.61,3054.44
95,31,18,1,75.52,75.52
96,32,68,3,719.02,2157.06
97,33,103,5,436.97,2184.85
98,33,63,2,512.74,1025.48
99,33,31,1,206.91,206.91
100,33,42,1,344.69,344.69
101,34,48,2,105.95,211.9
102,34,115,5,55.74,278.7
103,34,96,5,645.06,3225.3
104,34,68,4,719.02,2876.08
105,34,18,2,75.52,151.04
106,35,106,1,302.69,302.69
107,35,144,1,836.55,836.55
108,35,60,2,67.89,135.78
109,35,38,3,272.4,817.2
110,35,35,4,248.45,993.8
111,36,96,1,645.06,645.06
112,37,4,1,807.75,807.75
113,37,135,3,892.72,2678.16
114,37,150,5,375.2,1876.0
115,37,3,3,228.23,684.69
116,37,36,3,491.12,1473.36
117,38,123,2,722.07,1444.14
118,38,49,4,472.34,1889.36
119,39,123,2,722.07,1444.14
120,39,26,2,971.36,1942.72
121,39,100,5,124.48,622.4
122,39,139,1,472.71,472.71
123,40,33,5,330.9,1654.5
124,40,38,1,272.4,272.4
125,41,132,1,772.09,772.09
126,41,145,2,999.9,1999.8
127,41,64,4,77.27,309.08
128,41,93,2,919.26,1838.52
129,42,105,1,316.18,316.18
130,42,111,1,795.79,795.79
131,42,83,4,945.59,3782.36
132,43,50,3,408.59,1225.77
133,44,116,5,420.29,2101.45
134,44,58,2,428.77,857.54
135,44,123,5,722.07,3610.35
136,44,131,4,471.26,1885.04
137,45,62,5,920.18,4600.9
138,45,134,3,943.3,2829.9
139,46,20,4,148.22,592.88
140,46,8,4,133.57,534.28
141,46,17,5,823.57,4117.85
142,46,22,2,227.12,454.24
143,47,95,3,865.7,2597.1
144,48,72,4,78.09,312.36
145,48,88,3,930.57,2791.71
146,48,138,5,342.76,1713.8
147,48,84,3,836.24,2508.72
148,49,131,4,471.26,1885.04
149,49,99,5,440.21,2201.05
150,49,144,5,836.55,4182.75
151,49,147,2,254.8,509.6
152,50,87,1,782.31,782.31
153,50,126,3,779.89,2339.67
154,50,137,5,227.22,1136.1
155,50,17,3,823.57,2470.71
156,51,70,3,463.69,1391.07
157,51,132,2,772.09,1544.18
158,51,81,3,979.99,2939.97
159,52,145,2,999.9,1999.8
160,52,90,3,931.5,2794.5
161,53,86,5,364.22,1821.1
162,53,106,3,302.69,908.07
163,54,109,2,294.03,588.06
164,54,36,3,491.12,1473.36
165,54,49,3,472.34,1417.02
166,55,142,3,267.54,802.62
167,55,53,4,862.73,3450.92
168,55,149,5,948.27,4741.35
169,55,45,1,245.61,245.61
170,55,75,2,671.17,1342.34
171,56,87,2,782.31,1564.62
172,56,128,3,342.48,1027.44
173,57,101,4,53.93,215.72
174,57,70,5,463.69,2318.45
175,58,138,3,342.76,1028.28
176,58,38,3,272.4,817.2
177,58,19,3,658.87,1976.61
178,58,32,4,953.95,3815.8
179,59,101,1,53.93,53.93
180,59,18,2,75.52,151.04
181,59,66,4,49.33,197.32
182,59,117,5,699.38,3496.9
183,59,150,3,375.2,1125.6
184,60,146,4,957.7,3830.8
185,60,51,3,540.91,1622.73
186,60,14,4,638.62,2554.48
187,60,126,5,779.89,3899.45
188,60,28,4,300.56,1202.24
189,61,100,3,124.48,373.44
190,61,31,2,206.91,413.82
191,61,47,1,250.56,250.56
192,61,93,1,919.26,919.26
193,62,18,3,75.52,226.56
194,63,141,5,646.31,3231.55
195,64,33,1,330.9,330.9
196,64,109,2,294.03,588.06
197,64,11,5,296.48,1482.4
198,65,3,1,228.23,228.23
199,66,71,3,221.01,663.03
200,66,111,2,795.79,1591.58
201,66,60,2,67.89,135.78
202,67,147,3,254.8,764.4
203,67,142,3,267.54,802.62
204,67,61,2,320.46,640.92
205,67,6,5,101.81,509.05
206,67,150,3,375.2,1125.6
207,68,44,4,76.72,306.88
208,68,53,5,862.73,4313.65
209,69,5,2,163.91,327.82
210,69,24,5,168.37,841.85
211,69,70,4,463.69,1854.76
212,69,32,1,953.95,953.95
213,69,64,4,77.27,309.08
214,70,62,4,920.18,3680.72
215,70,43,2,228.01,456.02
216,71,72,1,78.09,78.09
217,71,1,2,102.75,205.5
218,72,112,5,93.94,469.7
219,72,99,4,440.21,1760.84
220,72,55,2,756.02,1512.04
221,73,21,4,749.53,2998.12
222,74,114,2,317.31,634.62
223,74,99,5,440.21,2201.05
224,74,98,1,962.9,962.9
225,74,139,3,472.71,1418.13
226,75,126,4,779.89,3119.56
227,75,135,3,892.72,2678.16
